,tweet
0,Aksi gerak cepat Erick Thohir menemui Presiden FIFA Gianni Infantino berhasil menyelamatkan sepakbola Indonesia dari sanksi FIFA yang terkait tragedi Kanjuruhan.   @erickthohir  #BangkitBersamaET  https://t.co/DbJDiz6qJp
1,Komnas HAM Mengaku Kantongi Video Sangat Kunci yang Bisa Mengungkap Kasus Tragedi Kanjuruhan  https://t.co/pR9lufU85S  https://t.co/fAqgcVYhIj
2,"12 Jam Diperiksa, Dua Tersangka Tragedi Kanjuruhan Tidak Ditahan  https://t.co/w0eUdpzTZ6"
3,Penggunaan Gas Air Mata dalam Tragedi Kanjuruhan  #bhayangkara  #bhayangkarajayapura  #papuaindonesia  #jayapurahits  #bareskrimpolri  #poldapapua  #indonesiahebat  https://t.co/ufGHK8wXDk
4,Panpel Arema FC Terang-terangan Sebut Nama Ketua PSSI untuk Diseret Jadi Tersangka Tragedi Kanjuruhan | Pagii Jokowi Tunangan Cebong ODGJ planet Bambang Tri Rahmat Banda Neira julio Ribero #IjazahPalsuRajaNgibul #RezimJokowiKinerjaBuruk #AniesPresiden2024   https://t.co/nlBKwBvH8r
5,Bonek Mania Faiz Al Fikry Meninggal di Tragedi Kanjuruhan: Semoga Ini Korban Terakhir setiap Persebaya Bertanding -  https://t.co/tRN9WwMQXc
6,Komnas HAM Klaim Punya Video Kunci Awal Mula dari Tragedi Kanjuruhan | Pagii Jokowi Tunangan Cebong ODGJ planet Bambang Tri Rahmat Banda Neira julio Ribero #IwanBuleOut #IjazahPalsuRajaNgibul #RezimJokowiKinerjaBuruk #AniesPresiden2024 #SaveAniesBaswedan  https://t.co/L4OcxH7kVd
7,"@tempodotco Effect Tragedi Kanjuruhan   Dan effect tragedi kanjuruhan juga akan berpengaruh untuk suara pemilih lari ke anies di jatim bila casenya merugikan korban,kata kawan saya😀✌"
8,"Hayoloh disindir anak yang punya negara xixix  Putra Presiden Joko Widodo, Kaesang Pangarep terlihat menyindir pernyataan polisi soal gas air mata Tragedi Kanjuruhan lewat akun Twitternya.  https://t.co/GTw6z8Wy5O"
9,Deklarasi dukungan terhadap Anies baswedan terlalu terburu-buru dan tidak memiliki empati terhadap tragedi Kanjuruhan 🤬🤬😡 Kepulauan Bangka Belitung  #AniesNasdemOut #TenggelamkanNasdem #TenggelamkanAniesNasdem #TenggelamkanPartaiNasdem #GoodByeNasdemAnies  https://t.co/hzxXe1r4rE
10,KAKANWIL A YUSPAHRUDDIN KEMENKUMHAM JATENG :  Kakanwil Ajak Jajarannya Panjatkan Doa Untuk Korban Tragedi Sepakbola di Kanjuruhan  https://t.co/zyYmgxlvji
11,"Misteri Video Pintu 3, Jadi Kunci Awal Mula Terjadinya Tragedi Kanjuruhan  https://t.co/QtjfBOIkr9"
12,"Misteri Video Pintu 3, Jadi Kunci Awal Mula Terjadinya Tragedi Kanjuruhan  https://t.co/AiIaWvJSPL"
13,"Tragedi Kanjuruhan, Benarkah Gas Air Mata Kedaluwarsa Jadi Sianida?  https://t.co/qOphCeXnyQ"
14,"Aremania soal Tragedi Kanjuruhan: Ini Pembantaian, Ditembaki Gas Air Mata, Pintu Ditutup  https://t.co/Ay9wdz3RfM Jatim: Korban Meninggal Tragedi Kanjuruhan Bertambah Jadi 174 Jiwa , lebih banyak detail :  https://t.co/Y9ovpMIpp5"
15,LPSK Beberkan Hasil Investigasi Tragedi Kanjuruhan – Viva –  https://t.co/t0TsYFlmpp – #Arenanews- https://t.co/EOsntAP5aB
16,TGIPF Bilang PSSI Bersikukuh Tidak Bertanggung Jawab Terhadap Tragedi Kanjuruhan – ViVA –  https://t.co/wZOaOfedaX – #Arenanews- https://t.co/pPPZscK8lT
17,DPR Desak Pemerintah Segera Penuhi Hak Korban Tragedi Kanjuruhan – Viva –  https://t.co/9QWPruEGZ9 – #Arenanews- https://t.co/n6kgZD7QxX
18,Alvin Lim Curiga Tragedi Kanjuruhan Disengaja demi Balas Jasa ke Ferdy Sambo: Gak Sangka Korban Banyak | Pagii Jokowi Tunangan Cebong ODGJ planet Bambang Tri Rahmat Banda Neira julio Ribero #IjazahPalsuRajaNgibul #RezimJokowiKinerjaBuruk #AniesPresiden2024  https://t.co/X3qqk6uTAI
19,"Sejak tragedi Kanjuruhan, tekat buat nanya keadaan orang² sekitar semakin menguat. Aku gak pengen mereka not fine, dan gak punya tempat buat berteduh."
20,Pelaku industri komersialisasi olahraga nasional memuji hasil lobi Erick Thohir ke FIFA yang membuat federasi sepak bola internasional itu urung memberikan sanksi berat kepada Indonesia paska tragedi Kanjuruhan.  #BangkitBersamaET   https://t.co/YpkknYJtxV  https://t.co/NRZJo5XAG7
21,LPSK Beberkan Hasil Investigasi Tragedi Kanjuruhan – Viva –  https://t.co/QjT4Rfm0l2 – #Arenanews  https://t.co/iYoodvYAFL
22,"Korban Meninggal dalam Tragedi Kanjuruhan Tambah Jadi 132 Orang, Komnas HAM Beberkan Penyebab Utama  https://t.co/bOZ4kBarQt"
23,Klo anak rakyat jelata kak seto alergi kali... Kak seto yg mati rasa soal 33 anak tewas di tragedi kanjuruhan.
24,TGIPF: Penggunaan Gas Air Mata Kedaluwarsa saat Tragedi Kanjuruhan Pelanggaran  https://t.co/F1tSPsVkfK  https://t.co/sgiK7DE986
25,Tim Gabungan Independen Pencari Fakta (TGIPF) mengungkapkan bahwa PT Liga Indonesia Baru (LIB) sebatas menjalankan instruksi dari Indosiar selaku rekan penyiaran mengenai waktu pertandingan. #TragediKanjuruhan #TGIPF #KanjuruhanDisaster #Indosiar  https://t.co/L272b0T5Fo
26,"Sebut Aremania 'Sok Jagoan', Ade Armando Dilaporkan ke Polisi   https://t.co/yLo73vJ55j  #BeritaTerkini #adearmando #aremaniaberduka #sokjagoan #arema #Video #polisiindonesia #tragedikanjuruhan #kerusuhan #stadionkanjuruhan #KanjuruhanDisaster  #news"
27,"Polresta Malang Gelar Sujud Massal atas Tragedi Kanjuruhan, Warganet Penasaran Tak sejak Awal Permintaan Maaf Dilakukan | Pagii Jokowi Tunangan Cebong ODGJ Bambang Tri Rahmat Banda Neira #IjazahPalsuRajaNgibul #RezimJokowiKinerjaBuruk #AniesPresiden2024   https://t.co/nZqzZENh2y"
28,"Mantan manajer timnas Indonesia di SEA Games 1991, IGK Manila, langkah cepat pemerintah dan Erick Thohir dalam mengantisipasi kebijakan FIFA paska Tragedi Kanjuruhan sudah tepat sehingga tidak berdampak berkepanjangan. #BangkitBersamaET   https://t.co/RP0btXstL2  https://t.co/eAxYk1unJ6"
29,Didik Soroti Gas Air Mata Kedaluwarsa saat Tragedi Kanjuruhan  https://t.co/I3uRjJZ5wS
30,"Investigasi digital mengenai Tragedi Kanjuruhan oleh bapak Ferry Irwandi.   Semua orang wajib nonton! Sebagai warga sipil, w bangga kenal dia di youtube lebih cepat.    https://t.co/Ze2FvFboAf"
31,"Seorang Irjen, menyimpulkan bahwa tragedi Kanjuruhan diduga ada aktor intelektual yg terlibat dg tujuan membikin kekacauan negara dan menurunkan kredibilitas Polisi, bahkan sampai tujuan pergantian pemerintahan.   https://t.co/6KPRarDNq1  https://t.co/ihdhI4DOd3"
32,TGIPF Bilang PSSI Bersikukuh Tidak Bertanggung Jawab Terhadap Tragedi Kanjuruhan – ViVA –  https://t.co/ewM65uV7wU – #Arenanews  -  https://t.co/Q2l0XZvQU1
33,DPR Desak Pemerintah Segera Penuhi Hak Korban Tragedi Kanjuruhan – Viva –  https://t.co/q9t2NOHEkM – #Arenanews  -  https://t.co/yErmvUDnHB
34,@AremaniaCulture Dari #TragediKanjuruhan semua pihak bisa belajar : 1. Perilaku suporter yang destruktif membahayakan semua pihak. Bagaimana caranya agar suporter bisa berperilaku konstruktif? 2. Penegakkan SOP pertandingan &amp; pengamanan pertandingan sepak bola perlu di tinjau &amp; dikaji ulang.
35,Panpel Arema FC Terang-terangan Sebut Nama Ketua PSSI untuk Diseret Jadi Tersangka Tragedi Kanjuruhan  https://t.co/ckZIED5ECU
36,"Mahfud MD, Ketua TGIPF Tragedi Kanjuruhan yang Juga Fans Klub Dua MU  https://t.co/CKUDFcOp2r  https://t.co/gCM0NvqOBx"
37,Gw salut sama supporter MU yg satu ini. Cc @kang @aewin86    https://t.co/Rs0vAQztVt  Menko Polhukam Mahfud Md mengatakan adanya saling lempar tanggung jawab terkait Tragedi Kanjuruhan menunjukkan bukti penyelenggaraan Liga agak kacau.
38,Kapan BRI Liga 1 2022 Kembali Dilanjutkan Pasca Tragedi Kanjuruhan? Ini Kata PT LIB  https://t.co/jAbqUvy8CF
39,Anggota Komisi III DPR RI Didik Mukrianto mengkritisi penggunaan gas air mata kedaluwasra saat tragedi Kanjuruhan Malang yang menewaskan ratusan Aremania. #Gasairmata  https://t.co/UYFISGf5MA
40,Penggunaan Gas Air Mata dalam Tragedi Kanjuruhan #polripresisi #ccicpolri #poldapapua #ccicpolri #SigapHadirMelayani #bravokapolri #percayapolri #polrihumanis #polripeduli #polriprofesional #polriindonesia  https://t.co/kqrCYLIKSp
41,Menko Polhukam Mahfud Md mengatakan adanya saling lempar tanggung jawab terkait Tragedi Kanjuruhan menunjukkan bukti penyelenggaraan Liga agak kacau.  https://t.co/7V0FLipvyr
42,Kabid Humas Polda Jatim Kombes Dirmanto mengatakan Hadian Lukita akan diperiksa pukul 10.00 WIB. PAA  Selengkapnya  https://t.co/6cGl1hCoNu  #PTLIB #AkhmadHadianLukita #AremaFC #PersebayaSurabaya #TragediKanjuruhan #PoldaJatim #iNews  https://t.co/r02BKvkdjQ
43,Hari Ini Komnas HAM Sampaikan Hasil Investigas Tragedi Kanjuruhan yang Tewaskan 132 Nyawa  https://t.co/dKej3gbhqX
44,"PSS Sleman Ambil Sikap Tegas, Sampaikan 6 Hal Penting Ini sebagai Bentuk Dukungan Investigasi Tragedi Kanjuruhan  https://t.co/CTb9IGEj86  https://t.co/aq72yZBIUp"
45,"Tak Peduli Sanksi Berat dari Komdis PSSI, Manajer Arema FC Tegaskan Fokus Bantu Korban Tragedi Kanjuruhan  https://t.co/zBfD8cdm6C  https://t.co/YTdjr7qxv7"
46,"Pasca Tragedi Kanjuruhan, Luis Milla Apresiasi Pemain Persib Bandung yang Tetap Berlatih meski Liga 1 2022-2023 Dihentikan Sementara  https://t.co/e4oNLjzMEn  https://t.co/9I8pfIR87k"
47,DPR Desak Pemerintah Segera Penuhi Hak Korban Tragedi Kanjuruhan – Viva –  https://t.co/BQ9Ugq1G6T – #Arenanews  https://t.co/brczvYvFw6
48,"Sambangi Kantor Kemenko Polhukam, PSSI Beri Keterangan Soal Tragedi Stadion Kanjuruhan ke TGIPF  https://t.co/DLMDSvDtW1  https://t.co/TKwpiRefAl"
49,Tegas Presiden Jokowi akan pidanakan pihak yang terlibat di tragedi Kanjuruhan @jokowi  https://t.co/nKSi05MhPf
50,"@lengka84 @Ara_Evaendy @MafiaWasit @kaesangp kalau dilihat dari bapak jokowi hadir dikanjuruhan dan video yg sudah disampaikan pak jokowi yanh tidak menyebutkan pssi kayaknya dari saran mas kaesang juga, makanya persis solo berani menyatkan sikap terhadap tragedi kanjuruhan"
51,usut tuntas tragedi kanjuruhan.
52,"Pengobatan Korban Tragedi Kanjuruhan Gratis, Kemenko PMK: Jika Ada Keluhan, Segera Lapor  https://t.co/umCXaTjDzU"
53,Menpora Zainudin Amali Sebut Tragedi Stadion Kanjuruhan Tak Pengaruhi Rencana Piala Dunia U-20 2023  https://t.co/4Io4cSCjti  https://t.co/btYHO9n8o1
54,"Hari Ini, TGIPF Panggil PSSI hingga PT LIB untuk Investigasi Tragedi di Stadion Kanjuruhan  https://t.co/3yxeysCrsS  https://t.co/kKd1HtLPuV"
55,"- Korban meninggal dunia dalam tragedi di Stadion Kanjuruhan, Malang, Jawa Timur, bertambah.Pada Se  #berita #nasional   https://t.co/IABhleC4DD"
56,"Tiba di Malang, Presiden Jokowi langsung jenguk korban luka tragedi Kanjuruhan @jokowi  https://t.co/IxKvD5BSDo"
57,"Meski 6 Tersangka Sudah Ditetapkan Pasca Tragedi Kanjuruhan, Aremania Tetap Minta Tanggung Jawab Ketum PSSI  https://t.co/3YbelB1O8G  https://t.co/kIggGB1tRZ"
58,"tuan jokowi, mengapa sampeyan tidak meminta maaf dan menystakan bertanggung jawab kepada ratusan korban mati dan atau luka luka dalam Tragedi Kanjuruhan?#dimanarasakemanusiaansampeyan?!"
59,"Innalillahi… hari ini ada 1 orang lg meninggal krn tragedi kanjuruhan. Rest in peace, rest in power 😭❤️"
60,Identitas Suporter Arema FC yang Lakukan Perusakan saat Tragedi Kanjuruhan Dikantongi Polisi  #aremafc #TragediKanjuruhan  https://t.co/fu8mD7sXAs
61,"Datangi Rumah Naswa, Korban Tragedi Kanjuruhan, Kapolres Malang Berikan Santunan dan Bantuan Pengobatan  https://t.co/J9Xb4Qv8n8"
62,Korban Tragedi Stadion Kanjuruhan Dapat Dukungan dari Klub Papan Atas Liga Swiss!  https://t.co/fBCyeZKklt  https://t.co/g9WcHymGG9
63,TGIPF Bilang PSSI Bersikukuh Tidak Bertanggung Jawab Terhadap Tragedi Kanjuruhan – ViVA –  https://t.co/ECN0bBdnIj – #Arenanews  https://t.co/fxYhRDHaqj
64,"Bertambah Satu Orang yang Berpulang, Korban Meninggal Dunia Tragedi Kanjuruhan Jadi 132 Jiwa  https://t.co/VYiDbMtYjF"
65,"Belasungkawa Atas Tragedi Stadion Kanjuruhan, Cadiz Kibarkan Bendera Indonesia Setengah Tiang  https://t.co/ZjIMrBsJKk  https://t.co/GPGO7VVRqq"
66,@detikcom Loncat sana..loncat sini...apah g malu..apah g ada yg mau bertanggung jawab atas tragedi kanjuruhan..
67,"Komisi X DPR RI akan Bentuk Pansus Terkait Tragedi Kanjuruhan, Malang  https://t.co/8F59cQB4Yy  https://t.co/9hJ66E218m"
68,Mengenang sepekan tragedi Kanjuruhan dari Sumenep   https://t.co/hcTH9RBYvO
69,Pemerintah Pastikan Pengobatan Korban Tragedi Kanjuruhan 100% Gratis #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional .  https://t.co/jph0oYjcg4
70,Markas PSM Makassar terancam tak dapat menggunakan GBH jika PSSI perketat standar Stadion sesuai saran FIFA imbas dari Tragedi Kanjuruhan.  https://t.co/j0ScVsOBHq
71,"Kini jumlah korban meninggal dalam Tragedi Kanjuruhan menjadi 132 orang, Komnas HAM membeberkan temuannya soal penyebab utama. -    https://t.co/dahCx1qPhE"
72,Alvin Lim Curiga Tragedi Kanjuruhan Disengaja demi Balas Jasa ke Ferdy Sambo: Gak Sangka Korban Banyak  https://t.co/OvKXIspw4Y
73,Dua Poin Gelap Tragedi Kanjuruhan yang Disorot TGIPF  https://t.co/tD0MK8gvsg
74,"Tiga hari bertemu korban tragedi Kanjuruhan. Sama seperti saya, mereka heran mengapa aparat keamanan tega menembakkan gas air mata ke arah tribun. Di sisi lain pintu gate 13 dikunci rapat dan menjadi “kuburan”. Kini korban trauma. Enam tersangka tak cukup.   Usut sampai Tuntas!  https://t.co/73b03EdqnL"
75,"Ada 132 nyawa melayang, apa dianggap angin lalu?.  https://t.co/Ux3wVgaPcx  Dua dari 6 tersangka Tragedi Kanjuruhan telah menjalani pemeriksaan selama 12 jam di Mapolda Jatim. Penyidik memutuskan tidak menahan AH dan SS."
76,@pejuangdolars all yg terlibat tragedi kanjuruhan pada cuci tangan tidak aneh saling lempar tanggung jawab
77,"Tragedi Kanjuruhan: Bertambah Satu Orang, Jadi Total 132 Korban Jiwa  https://t.co/D6Z1ISAAsu"
78,"@VIVAcoid Sudahlah pak @ListyoSigitP si ade armando krangkeng saja,memperkeruh suasana.  Rakyat cari kerja udah susah malah timbul tragedi kanjuruhan,orang pengangguran gampang emosi,jangan gara2 1 provokator indonesia jd chaos. Gara2 1 orang picu masa ngamuk,polisi kalang kabut lagi."
79,Hari Ini Dirut LIB dan 3 Polisi Tersangka Tragedi Kanjuruhan Diperiksa  https://t.co/UEpmdhMBeH  https://t.co/7n9ubN5VLI
